Date,Centre_Name,Commodity_Name,Price
19/12/1997,AHMEDABAD,Wheat,7.9
19/12/1997,BHOPAL,Wheat,6.75
19/12/1997,MUMBAI,Wheat,9
19/12/1997,JAIPUR,Wheat,6.5
19/12/1997,PATNA,Wheat,6
19/12/1997,BHUBANESHWAR,Wheat,8
19/12/1997,KOLKATA,Wheat,7
19/12/1997,GUWAHATI,Wheat,NA
19/12/1997,SHILLONG,Wheat,8
19/12/1997,AIZWAL,Wheat,NA
19/12/1997,AGARTALA,Wheat,NA
19/12/1997,BENGALURU,Wheat,9
19/12/1997,T.PURAM,Wheat,9
19/12/1997,CHENNAI,Wheat,10.5
19/12/1997,HYDERABAD,Wheat,8.5
22/12/1997,DELHI,Wheat,7.5
22/12/1997,SHIMLA,Wheat,NA
22/12/1997,LUCKNOW,Wheat,6
22/12/1997,AHMEDABAD,Wheat,7.9
22/12/1997,BHOPAL,Wheat,6.75
22/12/1997,MUMBAI,Wheat,9
22/12/1997,JAIPUR,Wheat,6.5
22/12/1997,PATNA,Wheat,6.25
22/12/1997,BHUBANESHWAR,Wheat,8
22/12/1997,KOLKATA,Wheat,7
22/12/1997,GUWAHATI,Wheat,NA
22/12/1997,SHILLONG,Wheat,8
22/12/1997,AIZWAL,Wheat,NA
22/12/1997,AGARTALA,Wheat,NA
22/12/1997,BENGALURU,Wheat,8
22/12/1997,T.PURAM,Wheat,9
22/12/1997,CHENNAI,Wheat,10.5
22/12/1997,HYDERABAD,Wheat,8.5
23/12/1997,DELHI,Wheat,7.5
23/12/1997,SHIMLA,Wheat,NA
23/12/1997,LUCKNOW,Wheat,6
23/12/1997,AHMEDABAD,Wheat,8
23/12/1997,BHOPAL,Wheat,7.5
23/12/1997,MUMBAI,Wheat,10
23/12/1997,JAIPUR,Wheat,6.5
23/12/1997,PATNA,Wheat,6.25
23/12/1997,BHUBANESHWAR,Wheat,8
23/12/1997,KOLKATA,Wheat,7
23/12/1997,GUWAHATI,Wheat,NA
23/12/1997,SHILLONG,Wheat,9
23/12/1997,AIZWAL,Wheat,NA
23/12/1997,AGARTALA,Wheat,NA
23/12/1997,BENGALURU,Wheat,8
23/12/1997,T.PURAM,Wheat,9
23/12/1997,CHENNAI,Wheat,11
23/12/1997,HYDERABAD,Wheat,8.5
24/12/1997,DELHI,Wheat,7.5
24/12/1997,SHIMLA,Wheat,NA
24/12/1997,LUCKNOW,Wheat,5.5
24/12/1997,AHMEDABAD,Wheat,8
24/12/1997,BHOPAL,Wheat,7.5
24/12/1997,MUMBAI,Wheat,10
24/12/1997,JAIPUR,Wheat,6.8
24/12/1997,PATNA,Wheat,6.25
24/12/1997,BHUBANESHWAR,Wheat,8
24/12/1997,KOLKATA,Wheat,7
24/12/1997,GUWAHATI,Wheat,NA
24/12/1997,SHILLONG,Wheat,9
24/12/1997,AIZWAL,Wheat,NA
24/12/1997,AGARTALA,Wheat,NA
24/12/1997,BENGALURU,Wheat,9
24/12/1997,T.PURAM,Wheat,9
24/12/1997,CHENNAI,Wheat,11
24/12/1997,HYDERABAD,Wheat,8.5
26/12/1997,DELHI,Wheat,7.5
26/12/1997,SHIMLA,Wheat,NA
26/12/1997,LUCKNOW,Wheat,5.5
26/12/1997,AHMEDABAD,Wheat,8
26/12/1997,BHOPAL,Wheat,7.5
26/12/1997,MUMBAI,Wheat,10
26/12/1997,JAIPUR,Wheat,6.8
26/12/1997,PATNA,Wheat,7
26/12/1997,BHUBANESHWAR,Wheat,8
26/12/1997,KOLKATA,Wheat,7
26/12/1997,GUWAHATI,Wheat,NA
26/12/1997,SHILLONG,Wheat,9
26/12/1997,AIZWAL,Wheat,NA
